Date,Country,Area,Location,Sex,Fatal
1968-07-10,BAHAMAS,Great Exuma Island,Children's Bay Cay near Rollerville,M,True
1968-02-26,USA,Florida,Palm Beach County,M,False
1966-09-13,AUSTRALIA,Western Australia,Albany,M,
1966-05-16,USA,Florida,"Fernandina Beach, Nassau County",M,
1965-10-16,BAHAMAS,New Providence Island,Nassau,F,True
1965-04-25,USA,California,"Pacifica, San Mateo County",M,
1964-12-06,KENYA,Coast Province,"Kilindini Harbor, Mombasa",M,True
1964-10-31,SOUTH AFRICA,KwaZulu-Natal,Umkomaas,M,False
1963-11-12,USA,Florida,"8 miles south of Elliot Key, Miami-Dade County",M,False
1962-01-14,USA,California,Farallon Islands,M,False
1961-08-02,USA,Hawaii,"Pearl Harbor Channel, O'ahu",M,False
1961-04-25,AUSTRALIA,New South Wales,"Trial Bay, north of Kempsey",M,False
1960-11-06,AUSTRALIA,Western Australia,Hamelin Bay,M,False
1960-07-03,USA,Virginia,Hog Island,M,False
1960-04-12,AUSTRALIA,New South Wales,"Horseshoe Bay, near Kempsey",M,False
1959-11-10,USA,California,"Near Paradise Cove, Malibu, Los Angeles County",M,False
1959-08-13,USA,California,"LaJolla, San Diego County",M,False
1959-01-31,AUSTRALIA,Western Australia,South Perth,M,False
1958-11-07,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","M'Buke, south of Manus Island",M,True
1957-12-31,AUSTRALIA,South Australia,"Port Hughes, 100 miles from Adelaide in Spencer Gulf",M,False
1957-01-01,IRAN,Karun River,"near Band Misan in Shustar, 420 km from the sea",M,False
1956-08-15,USA,California,"Pismo Beach, San Luis Obispo County",M,False
1956-07-26,USA,California,"Van Ness Municipal Pier, San Francisco",M,False
1956-06-22,PORTUGAL,Madeira,Off Funchal,M,True
1955-09-04,USA,California,"Venice Beach, Los Angeles County",M,False
1955-04-13,PAPUA NEW GUINEA,Central Province,"Hadrian’s (Haidana?) Island, near Port Moresby",M,False
1954-07-28,SINGAPORE,,Singapore Harbor,M,True
1954-07-02,GREECE,,Kalamata,M,True
1954-01-01,IRAN,Karun River,"Hesamabad area of Shushtar, 420 km from the sea",M,True
1951-12-06,AUSTRALIA,New South Wales,"Merewether Beach, Newcastle",M,True
1951-11-23,PHILIPPINES,,,M,True
1949-08-28,AUSTRALIA,Queensland,Yorkey’s Knob Beach near Cairns,M,False
1949-04-17,AUSTRALIA,Queensland,"Ellis Beach, 20 miles from Cairns",M,True
1948-12-14,IRAN,Shat-Al-Arab River,Abadan,M,False
1942-06-11,BAY OF BENGAL,,,M,True
1942-01-01,INDONESIA,East Java,Surabaya,M,True
1942-01-01,SOUTHWEST PACIFIC OCEAN,,,M,False
1939-08-01,USA,California,"Off San Pedro, Los Angeles County",M,False
1936-01-01,AUSTRALIA,Victoria,"Port Phillip Bay, Port Melbourne",M,True
1935-07-01,CROATIA,Adriatic Sea,"Susak / Fiume (Rijeka, Istria)",F,True
1932-07-02,CANADA,Bay of Fundy,16 km west of Digby Gut,M,False
1931-03-06,AUSTRALIA,South Australia,Encounter Bay,M,False
1930-02-15,AUSTRALIA,Victoria,"Middle Brighton, Port Phillip",M,True
1929-05-31,AUSTRALIA,Torres Strait,,M,False
1926-10-23,AUSTRALIA,New South Wales,Clarence River,M,False
1924-10-31,FRENCH POLYNESIA,Tuamotus,Rangiroa,M,False
1924-10-18,AUSTRALIA,Victoria,Port Melbourne,M,False
1923-08-08,GUYANA,Demerara County,Off the Demerara River,M,False
1922-03-02,AUSTRALIA,New South Wales,Coogee,M,True
1917-11-01,MOZAMBIQUE,Maputo Province,Off Inhaca Island,M,True
1912-07-06,SOLOMON ISLANDS,Central Province,Savo,M,True
1910-11-24,AUSTRALIA,Queensland,Mackay,M,False
1909-11-26,USA,Florida,"16 miles north of Fort Pierce Inlet, Indian River County",M,False
1909-06-26,SOUTH AFRICA,Western Cape Province,Cape Town,M,True
1907-09-19,ENGLAND,English Channel,,M,
1907-02-05,NEW ZEALAND,South Island,Port Moeraki,M,True
1906-04-14,AUSTRALIA,Queensland,Lizard Island,M,True
1906-01-20,SOUTH AFRICA,KwaZulu-Natal,"Battery Beach, Durban",M,True
2023-08-16,PORTUGAL,Norte,9 nm off Vila do Conde,M,False
2022-07-13,USA,New York,"Smith Point Beach, Suffolk County",M,False
2021-03-21,USA,Florida,"Miami Beach, Miami-Dade County",M,False
2020-12-06,AUSTRALIA,South Australia,D’Estrees Bay near Kangaroo Island,M,False
2020-09-07,AUSTRALIA,Queensland,"Greenmount Beach, Coolangatta",M,True
2020-07-14,USA,Florida,"Melbourne Beach, Brevard County",F,False
2020-01-05,AUSTRALIA,Western Australia,Cull Island / Esperance,M,True
2019-12-28,SEYCHELLES,Praslin,Amitié Beach,F,False
2019-09-28,AUSTRALIA,Northern Territory,"Nightcliff Jetty, Darwin",M,False
2019-04-06,USA,Hawaii,Kaiwi Channel,M,False
2018-11-18,AUSTRALIA,Northern Territory,Off Nhulunbuy,M,False
2018-10-23,USA,California,Farallon Islands,M,False
2018-08-05,USA,North Carolina,"Bald Head Island, Brunswick County",M,False
2018-06-08,AUSTRALIA,New South Wales,Arrawarra Headland,M,False
2018-01-21,NEW CALEDONIA,,Nouville,M,False
2017-10-31,AUSTRALIA,Queensland,Magnetic Island,M,False
2017-09-20,USA,Florida,Palm Beach County,M,False
2017-09-16,USA,Florida,"Ponce Inlet, Volusia County",M,False
2017-04-02,USA,Florida,"Destin, Okaloosa County",F,False
2016-09-18,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2016-06-04,EGYPT,Suez,Ain Sokhna,M,False
2016-04-07,USA,Florida,"Corners Beach, Jupiter, Palm Beach County",M,
2015-11-03,USA,Hawaii,"Kehena Beach, Hawaii",M,False
2015-09-05,USA,California,"Deer Creek Beach, Ventura County",M,False
2015-05-24,USA,Florida,"Cocoa Beach, Brevard  County",F,False
2014-12-23,JAPAN,,,M,False
2014-10-17,AUSTRALIA,New South Wales,Avoca Beach,F,False
2014-03-21,USA,Florida,Macarthur State Park,M,False
2014-02-17,PAPUA NEW GUINEA,,,M,False
2013-09-14,USA,Florida,"Casino Beach, Pensacola, Escambia County",M,False
2013-09-01,USA,Florida,"St Augustine Beach, St Johns County",M,False
2013-08-18,USA,Hawaii,Pohoiki,M,False
2013-08-13,USA,Hawaii,"Ka'a Point, Maui",F,False
2013-04-13,GUAM,,,M,True
2013-03-10,AUSTRALIA,Western Australia,African Reef off Geraldton,M,False
2012-10-02,AUSTRALIA,Western Australia,"Mullaloo Beach, Perth",M,False
2012-09-06,USA,Florida,"Neptune Beach, Duval County",M,False
2012-07-07,USA,California,"Pleasure Point, Santa Cruz County",M,False
2011-12-11,AUSTRALIA,New South Wales,Angourie,M,False
2011-09-28,DOMINICAN REPUBLIC,Samaná Province,Playa Jackson,M,False
2011-06-30,TURKS & CAICOS,Middle Caicos,Mudjin Harbor,M,False
2010-08-14,USA,California,"Pigeon Point, San Mateo County",M,False
2010-07-17,USA,North Carolina,"Wrightsville Beach, New Hanover County",F,False
2010-01-12,SOUTH AFRICA,Western Province,Fish Hoek,M,True
2009-06-21,USA,California,"Shell Beach, San Luis Obispo County",M,
2009-05-31,TAIWAN,Off Green Island,Onboard the fishing vessel Chin Sheng Fa 13,M,False
2009-03-06,BAHAMAS,Exuma Islands,,M,False
2009-04-06,SOUTH AFRICA,KwaZulu-Natal,Umtentweni,M,
2009-03-02,SOUTH AFRICA,Western Cape Province,Off Cape Point,M,False
2009-01-06,NEW ZEALAND,North Island,Haumoana,M,False
2008-09-06,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",M,False
2008-06-24,BRAZIL,Bahia,Guarajuba,M,False
2008-04-26,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2008-04-09,FIJI,,,M,False
2008-02-06,USA,Florida,"Opposite Patrick Air Force Base, Brevard County",M,False
2007-08-07,USA,Florida,"Islamorada, Monroe County",F,False
2007-06-12,USA,Florida,"Turtle Beach, Siesta Key, Sarasota County",F,False
2007-03-14,USA,Florida,Delray Beach,M,False
2007-01-25,NEW CALEDONIA,North Province,Kaala-Gomen,M,False
2007-01-23,AUSTRALIA,New South Wales,Cape Howe,M,False
2006-05-21,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",M,False
2006-02-23,USA,Hawaii,"Makena, Maui",M,
2006-02-12,AUSTRALIA,South Australia,"Brighton Beach, Adelaide",M,False
2006-02-08,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",M,False
2005-09-02,USA,Florida,"Ponce Inlet, Volusia County",M,False
2005-05-25,SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,M,False
2005-02-22,USA,Florida,"Long Key, Monroe County",M,False
2004-11-27,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",M,False
2004-08-21,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",M,False
2004-08-06,USA,Florida,"Big Bayou, St. Petersburg, Pinellas County",M,False
2004-07-27,USA,Texas,Galveston Island,F,False
2004-07-02,EGYPT,Sinai Peninsula,The lagoon at Dahab,F,False
2004-05-23,USA,Florida,"St. Augustine, St. John's County",M,False
2003-10-31,USA,Florida,"Ponte Vedra Beach, St. Johns County",M,False
2003-05-25,USA,Florida,"Coral Cove Park, Jupiter Inlet, Palm Beach County",M,False
2003-02-11,AUSTRALIA,New South Wales,"Coogee Bay, near Sydney",M,False
2002-08-06,UNITED KINGDOM,Cheshire,"Blue Planet Aquarium, Ellesmere Port",M,False
2002-05-21,COSTA RICA,Guanacaste,Playa Grande,M,False
2002-03-24,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",M,True
2001-11-23,AUSTRALIA,New South Wales,"Flat Rock Beach, Lennox Head",M,False
2001-08-18,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2001-06-03,USA,South Carolina,"Off 21st Avenue, Isle of Palms, Charleston County",F,False
2000-12-01,NEW ZEALAND,Cook Islands,"Arorangi, Rarotonga",F,True
2000-07-15,SOUTH AFRICA,KwaZulu-Natal,South of Durban,M,False
2000-07-09,USA,Florida,"Neptune Avenue, Ormond Beach, Volusia County",M,False
1999-12-26,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",M,False
1999-09-05,USA,Florida,"Fort Pierce Inlet, St. Lucie County",M,False
1999-09-04,USA,Florida,"World Typhoon Lagoon, Disney Water Park, Orange County",M,False
1999-06-12,USA,Florida,"Atlantiic Beach, Duval County",M,False
1999-03-18,USA,Hawaii,"Olowalu side of Lahina, Maui",F,True
1998-05-29,SOUTH AFRICA,Eastern Cape Province,Sardinia Bay near Port Elizabeth,M,False
1997-12-25,USA,Florida,"Hollywood Beach, Broward County",M,False
1997-06-07,BRAZIL,Rio de Janeiro,"Copacabana, Rio de Janeiro",M,
1997-05-31,USA,Florida,In Gulf of Mexico 17 miles off Weeki Wachee,M,False
1997-01-03,REUNION ISLAND,,la Pointe-au-Sel,M,True
1996-12-01,NEW CALEDONIA,,,M,True
1996-05-28,SOUTH AFRICA,Western Cape Province,"The Steps, Wilderness",M,False
1996-03-05,AUSTRALIA,Queensland,Heron Island,F,False
1995-08-31,USA,South Carolina,"Myrtle Beach, Horry County",M,False
1995-04-16,USA,Florida,"New Smyrna Beach, Volusia County",M,
1994-09-26,USA,South Carolina,"North Forest Beach, near Hilton Head, Beaufort County",F,False
1991-02-12,SOUTH AFRICA,Western Cape Province,Miller’s Point,M,False
1989-08-22,SOUTH AFRICA,Western Cape Province,Mossel Bay,M,False
1989-07-07,USA,Texas,"Sargent Beach, Matagorda County",F,False
1988-09-13,USA,Florida,"Shell Island Panama City Beach, Bay County",F,False
1988-06-16,SOUTH AFRICA,Western Cape Province,Sculphoek,M,False
1988-05-04,USA,Florida,"Melbourne Beach, Brevard County",M,False
1985-01-18,SOUTH AFRICA,KwaZulu-Natal,Umzimkulu,M,
1984-07-01,USA,Florida,,M,False
1983-12-22,SOUTH AFRICA,Eastern Cape Province,Great Fish River,M,False
1983-03-22,SOUTH AFRICA,Eastern Cape Province,Nahoon,M,False
1982-02-14,USA,Hawaii,"White Plains Beach, Barbers Point, O'ahu",F,False
1981-05-24,USA,Hawaii,"Ha'ena Beach Park, Kaua'i",M,True
1980-12-30,SOUTH AFRICA,Eastern Cape Province,Nahoon,M,False
1980-08-22,MEXICO,,,M,True
1979-04-08,USA,Florida,"Municipal Beach, Boyton Beach, Palm Beach County",M,False
1976-09-17,HONG KONG,South China Sea 200 miles from Hong Kong,,M,True
1975-10-21,USA,New Jersey,"Sandy Hook, Monmouth County",M,
1975-08-12,USA,Florida,"Daytona Beach, Volusia County",M,False
1975-02-10,AUSTRALIA,South Australia,(Point Sinclair) Penong,M,True
1975-02-01,SOUTH AFRICA,Western Cape Province,"Beespens, False Bay",M,False
1974-11-01,USA,Florida,"Daytona Beach, Volusia County",M,False
1971-09-05,AUSTRALIA,South Australia,Adelaide,M,True
1970-01-01,CROATIA,Zadar County,Novigrad,M,
1969-05-25,USA,Texas,Packery Channel,M,False
1969-08-19,USA,Florida,"Marathon, Monroe County",M,False
1967-04-01,UNITED KINGDOM,Gibraltar,,M,False
1966-10-19,PAPUA NEW GUINEA,New Ireland Province,"Mission Beach, Lambon Island, near Duke of York Islands",F,True
1966-09-10,AUSTRALIA,Western Australia,Roe Reef off Rottnest Island,M,False
1966-08-13,ITALY,Taranto province,"Pulsano, near Taranto",M,False
1966-06-04,USA,Texas,Bolivar Peninsula,M,False
1966-05-16,PHILIPPINES,,Off Cebu,M,True
1965-12-28,AUSTRALIA,Western Australia,"Bathurst Reef, Rottnest Island",M,False
1964-08-26,USA,Florida,"Hollywood Beach, Broward County",M,False
1963-12-08,AUSTRALIA,South Australia,55 miles south of Adelaide,M,False
1963-06-01,PAPUA NEW GUINEA,Central Province,Near Fisherman's Island,M,False
1963-01-12,SOUTH AFRICA,Eastern Cape Province,Humewood,M,False
1962-11-25,AUSTRALIA,Queensland,Townsville,M,
1961-12-18,AUSTRALIA,Queensland,Noosa Heads,M,True
1961-09-07,PERSIAN GULF,25 km off the coast of Iran & 483km from mouth of Persian Gulf,Khark Island,M,False
1961-06-01,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","Rossun, Manus",M,False
1961-02-01,AUSTRALIA,Western Australia,Carnac Island,M,False
1960-10-01,USA,Florida,Haulover Inlet,M,
1960-01-01,SOUTH AFRICA,Western Cape Province,Muizenberg,F,False
1959-08-20,PHILIPPINES,North Palawan,Cabuli Island,M,
1959-05-01,MID ATLANTIC OCEAN,Between England & South Africa,,M,False
1959-02-28,AUSTRALIA,Victoria,Port Phillip Bay,M,False
1958-10-01,PAPUA NEW GUINEA,West New Britain Province,"East Nakanai, Talasea",M,False
1958-07-10,USA,Florida,"Key West, Monroe County",M,True
1957-12-18,SOUTH AFRICA,KwaZulu-Natal,Karridene,M,False
1956-12-09,NEW ZEALAND,North Island,North Auckland,M,False
1956-08-20,PAPUA NEW GUINEA,Central Province,"Paga Point, Port Moresby",M,False
1955-09-03,USA,California,"Venice Beach, Los Angeles County",M,False
1954-07-03,BERMUDA,South shore,Elbow Beach,M,False
1954-06-01,HONG KONG,,,M,True
1953-10-01,AUSTRALIA,New South Wales,"Boat Harbour, north of Cronulla",M,False
1953-07-16,USA,California,"Santa Catalina Island, Los Angeles County",M,False
1952-01-23,MAURITIUS,Port Louis Province,Port Louis,M,False
1951-07-11,PACIFIC OCEAN,,In Los Angeles – Honolulu yacht race,M,False
1951-02-19,SOUTH AFRICA,Eastern Cape Province,Port St. Johns,M,False
1950-07-01,USA,Florida,"Rock Harbor, Key Largo, Monroe County",M,False
1950-01-01,PANAMA,Canal Zone,300 yards west of mouth of the Chagres River,M,False
1949-07-25,USA,South Carolina,"Oketee River, Jasper County",M,False
1949-01-01,NEW GUINEA,"Abau Sub District, Central Province",Kerpuna,M,True
1948-09-22,GREECE,Attica,Keratsini,M,True
1944-01-01,NEW GUINEA,Pacific Ocean,,M,True
1943-08-01,ITALY,40 miles south of Naples,Tyrrhenian Sea,M,False
1942-11-13,SOLOMON ISLANDS,,Off Guadalcanal,M,False
1942-11-01,SOUTH AFRICA,Western Cape Province,Clifton,M,True
1942-01-01,BAHAMAS,Cay Sal Bank,Anchored off the largest island in the group,M,False
1940-07-13,USA,South Carolina,"Folly Beach, Charleston County",M,False
1940-01-15,AUSTRALIA,Queensland,"Surfers Paradise, near Southport",M,False
1939-01-01,VENEZUELA,Carabobo,"El Falito, near Puerto Cabello",M,True
1939-01-01,CURACAO,Ascension Bay,,M,False
1938-01-14,AUSTRALIA,New South Wales,"Lady Martin’s Beach, Sydney Harbor",M,
1934-08-21,CROATIA,Adriatic Sea,"Susak (Rijeka, Istria)",F,True
1934-06-21,AUSTRALIA,New South Wales,Off Mooloolabah,M,False
1934-04-01,AUSTRALIA,New South Wales,North Steyne,M,True
1933-02-15,AUSTRALIA,Torres Strait,"Barrow Point, 100 miles north of Cooktown, Queensland",M,False
1932-08-09,AUSTRALIA,Torres Strait,,M,False
1932-05-01,AUSTRALIA,Torres Strait,Thursday Island,M,False
1931-07-28,FIJI,Viti Levu Island,Tamavua River,M,False
1928-04-14,AUSTRALIA,Queensland,"Barrow Point, 100 miles north of Cooktown, Queensland",M,False
1927-10-12,AUSTRALIA,New South Wales,"Kiah Creek, Eden",M,False
1926-12-02,AUSTRALIA,Torres Strait,Palm Island,M,True
1924-07-31,USA,South Carolina,"Folly Island, near Charleston",M,False
1923-10-16,AUSTRALIA,Torres Strait,Near Thursday Island,M,False
1921-08-22,HAITI,Cape Haitien,Marine Dock,M,True
1920-11-22,AUSTRALIA,Western Australia,Cottesloe Beach,M,False
1919-01-01,USA,Florida,"Near Panama City, Bay County",F,False
1917-05-31,PHILIPPINES,Luzon Island,Canacao Bay,M,True
1916-07-12,USA,New Jersey,"Matawan Creek, 10 miles from the sea, Monmouth County",M,True
1912-01-26,AUSTRALIA,New South Wales,"Fig Tree Bridge, Lane Cove River, near Sydney",M,True
1911-01-01,USA,Texas,"Texas City, Galveston",M,False
1907-10-16,CHINA,Hong Kong,"Sharp Peak, Sai Kung Peninsula, New Territories",M,True
1904-07-01,ITALY,Ancona Province,Ancona,M,True
2023-07-04,ECUADOR,Galapagos Islands,Mosquera Islet,F,False
2023-01-01,MALDIVES,Vaavu Atoll,,F,False
2022-10-02,USA,California,Centerville Beach,M,False
2022-07-10,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2022-06-28,SOUTH AFRICA,Western Cape Province,"Sanctuary Beach, Plettenberg Bay",M,True
2022-04-30,FRENCH POLYNESIA,Tahiti,"Pointe des pêcheurs, Punaahuia",M,False
2022-02-26,USA,California,"San Miguel Islandl, Santa Barbara County",M,True
2021-12-06,AUSTRALIA,Victoria,Ocean Grove Beach,F,False
2021-10-03,USA,California,"Salmon Creek Beach, Sonoma County",M,False
2021-04-20,USA,Hawaii,Kukio Bay,F,False
2021-04-19,AUSTRALIA,Western Australia,Karratha,M,False
2021-03-18,USA,Florida,"Juno Beach, Palm Beach County",M,False
2021-02-02,USA,Maui,Ukumehama,M,False
2020-11-22,AUSTRALIA,Western Australia,Cable Beach,M,True
2020-09-17,AUSTRALIA,Queensland,Fraser Island,M,False
2020-07-23,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2020-03-21,AUSTRALIA,Queensland,Cairns,F,False
2020-03-02,FIJI,Vanua Levu,"Tawake, Cakaudrove",M,False
2019-12-12,REUNION ISLAND,,,M,False
2019-10-29,AUSTRALIA,Queensland,"Off Airlie Beach, Whitsundays",M,False
2019-05-20,USA,New Jersey,"Ship Bottom, Ocean County",M,False
2019-05-04,BRAZIL,Fernando de Noronha,Praia de Porto,M,False
2019-04-23,USA,Hawaii,"Anaehoomalu Bay, Hawaii",F,False
2018-12-09,NEW ZEALAND,North Island,Ti Point,M,False
2018-10-08,AUSTRALIA,Queensland,Swain Reef,M,False
2018-07-29,USA,Florida,"St Augustine, St Johns County",M,False
2018-07-14,USA,Florida,"Playalinda Beach, Brevard County",F,False
2018-02-11,BRAZIL,"Boi Island, Victoria",Espirito Santo,F,False
2017-10-23,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",F,False
2017-04-26,USA,Florida,,F,
2016-10-10,USA,Oregon,"Indian Beach, Ecola State Park, Clatsop County",M,False
2016-08-25,USA,Florida,"Ponte Vedra, St. Johns County",M,False
2016-06-27,USA,South Carolina,Sullivan's Island,M,False
2016-03-31,USA,Hawaii,"Olowalu, Maui",F,False
2015-06-11,USA,North Carolina,"Ocean Isle, Brunswick County",F,False
2015-06-07,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",M,False
2015-05-25,FRENCH POLYNESIA,Rangiroa,Avatoru Pass,M,False
2015-03-07,FRENCH POLYNESIA,Central Tuamotu,"Tupapati, Hikueru Atoll",M,False
2014-10-12,USA,Florida,"Melbourne Beach, Brevard County",F,False
2014-09-21,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2014-08-25,USA,Florida,Apalachicola Bay,M,False
2014-08-09,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",F,False
2014-06-27,ST MARTIN,,20 miles from shore,M,False
2014-02-07,NEW ZEALAND,South Island,Porpoise Bay,M,False
2013-08-14,USA,Hawaii,"Makenat, Maui",F,True
2013-07-29,USA,Hawaii,"White Plains Beach, Oahu",M,False
2012-12-30,AUSTRALIA,New South Wales,Between Dee Why and Long Reef,M,False
2012-11-27,AUSTRALIA,Queensland,Mooloolaba,M,
2012-09-08,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",M,False
2012-04-19,SOUTH AFRICA,Western Cape Province,Caves near Kogel Bay,M,True
2012-03-20,AUSTRALIA,Queensland,Nobby's Beach,M,False
2011-12-07,SOUTH AFRICA,KwaZulu-Natal,Between Sodwana & Cape Vidal,M,
2011-11-22,USA,California,Pigeon Point,M,False
2011-07-22,SOUTH AFRICA,Eastern Cape Province,"Cintza Beach, East London",M,False
2008-06-26,USA,North Carolina,"North Topsail Beach, Onslow County",F,False
2011-01-12,MEXICO,Quintana Roo,Xcalak,M,False
2010-08-02,USA,Florida,"Micklers Landing, St. Johns County",F,False
2010-04-28,USA,Florida,Hanalei Bay,M,False
2009-06-14,VIETNAM,,,M,False
2009-04-17,USA,Florida,"Walton Rocks, St Lucie County",M,False
2009-03-27,SOUTH AFRICA,Eastern Cape Province,2-3 km north of Sunday's River mouth,M,False
2008-12-27,AUSTRALIA,Western Australia,Port Kennedy Beach,M,True
2008-07-25,USA,Hawaii,"Lahilahi Point, Oahu",F,False
2008-06-07,USA,Florida,"Cocoa Beach, Brevard  County",M,False
2008-04-28,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2008-04-26,NEW CALEDONIA,North Province,Poindimié,M,False
2008-03-28,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,M,False
2008-03-23,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",M,False
2007-09-30,PHILIPPINES,Palawan,Off Cagayancillo,M,True
2007-09-08,USA,Florida,"Pepper Park Beach, St. Lucie County",F,False
2007-09-05,USA,Florida,"Daytona Beach, Volusia County",F,False
2006-12-02,AUSTRALIA,Western Australia,Wharton Beach,M,False
2006-08-29,AUSTRALIA,South Australia,"Pennington Bay, Kangaroo Island",M,False
2006-05-04,USA,Florida,"Hutchinson Island, St. Lucie County",F,False
2006-04-03,USA,Florida,"Marco Island, Collier County",M,False
2005-10-21,USA,California,"Klamath River mouth, Del Norte County",M,False
2005-06-20,MEXICO,Baja California,San Luis beach,M,False
2005-04-09,USA,Florida,"Central Gulf Coast, St. John County",M,
2004-10-06,REUNION ISLAND,Conservatória District,"P' tit Paris, Saint-Pierre",M,False
2004-01-12,AUSTRALIA,New South Wales,Bushrangers Pass at Bass Point,M,False
2003-03-10,USA,Florida,"Petting Tank, Florida Aquarium, Tampa, Hillsborough County",F,False
2002-09-30,USA,Florida,"Ormond Beach, Volusia County",M,False
2002-07-10,BRAZIL,Pernambuco,"Piedade Beach, Recife",M,False
2002-04-18,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2002-01-30,AUSTRALIA,Western Australia,Collie River,M,False
2002-01-01,USA,Hawaii,"Olowalu, Maui",M,False
2001-08-12,THAILAND,Rayong Province,Laem Mae Pim Beach,M,False
2001-06-09,AUSTRALIA,New South Wales,Lord Howe Island (island group 440 miles northeast of Sydney),M,
2001-05-18,PHILIPPINES,Zamboanga del Sur Province,,M,False
2001-05-03,USA,Florida,"Jacksonville, Duval County",M,False
2001-01-24,AUSTRALIA,New South Wales,South West Rocks,M,False
2000-03-03,NEW ZEALAND,North Island,Between the Kakanui River and Campbell's Bay,M,
1999-03-14,NEW ZEALAND,,,M,False
1998-08-26,USA,California,"Stinson Beach, Marin County",M,False
1998-01-01,USA,Virginia,"Wreck of the Navy Barge, 22 miles SE of Rudee",M,False
1997-06-09,USA,Florida,Palm Beach County,M,False
1996-09-01,USA,South Carolina,"Garden City Beach, Horry County",F,
1996-07-04,BAHAMAS,Cat Cay,,M,False
1996-04-25,AUSTRALIA,New South Wales,Mona Vale,F,False
1995-06-02,HONG KONG,New Territories,Sheung Sze Wan Beach,M,True
1994-10-17,BRAZIL,Pernambuco,Piedade,M,False
1992-11-06,USA,Florida,"North Jetty Park, Fort Pierce, St Lucie County",M,False
1990-10-27,AUSTRALIA,Queensland,Mermaid Waters,M,False
1990-03-24,FIJI,Laucala Island,,M,False
1989-09-03,USA,California,24 km off Santa Catalina Island in the Channel Islands,M,False
1987-09-18,AUSTRALIA,South Australia,"Merino Rocks, Adelaide",M,True
1986-02-01,AUSTRALIA,Victoria,Jan Juc Beach,M,False
1985-08-17,USA,Florida,"Bayport, Hernando County",M,
1983-11-10,SOUTH AFRICA,KwaZulu-Natal,Tongaat,F,
1983-08-20,USA,Oregon,"Cape Kiwanda,Tillamook County",M,False
1983-08-15,USA,Virginia,"Virginia Beach, Princess Anne County",F,False
1982-02-14,USA,Hawaii,"White Plains Beach, Barbers Point, O'ahu",F,False
1980-04-01,MEXICO,Sinaloa,Mazatlán,F,False
1977-08-14,USA,California,"McClure Beach, near Tomales Point, Marin County",M,False
1976-10-06,SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,M,False
1976-01-08,USA,Florida,"Off Fort Pierce, St Lucie County",M,False
1974-08-10,CROATIA,Split-Dalmatia County,"Lokva Rogoznica, Omis",M,True
1974-05-26,USA,California,"Tomales Point, Marin County",M,False
1973-09-29,SOUTH AFRICA,KwaZulu-Natal,Mission Rocks,M,True
1972-08-29,USA,Florida,"Crescent Beach, St. Johns County",M,False
1971-10-23,USA,Florida,"Ft. Pierce, St Lucie County",M,False
1971-10-14,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",M,False
1971-01-01,AUSTRALIA,South Australia,Southport,M,False
1970-10-24,USA,Hawaii,"Brennecke Beach, Po'ipu, Kaua'i",M,False
1970-06-22,USA,Florida,"Dania, Broward County",M,False
1970-06-15,SOUTH AFRICA,KwaZulu-Natal,"Shark tank, Oceanographic Research Institute, Durban",M,False
1969-11-30,AUSTRALIA,Western Australia,"Swan River, 13 miles upstream",M,False
1967-08-25,ITALY,Liguria,"Marinella Sarzana, La Spezia",M,False
1967-08-15,BERMUDA,Hamilton,Hamilton,F,False
1967-01-06,AUSTRALIA,Victoria,Goolwa,M,False
1965-07-26,MEXICO,Veracruz,Mocambo,M,True
1964-06-23,FIJI,Lau Group,"Tovu, Totoya Island",M,False
1963-09-13,AUSTRALIA,New South Wales,Wanda Beach,M,False
1963-08-01,DOMINICAN REPUBLIC,Santo Domingo,Rio Haina Port,M,True
1962-11-11,USA,California,Farallon Islands,M,False
1962-07-19,USA,California,30 miles south of San Clemente Island,M,False
1961-08-04,BERMUDA,,6 miles from shore,M,False
