Date,Country,Area,Location,Sex,Fatal
2020-09-16,AUSTRALIA,New South Wales,Cabarita Beach,M,False
2020-09-16,USA,Florida,"Daytona Beach Shores, Volusia County",M,False
2020-06-07,AUSTRALIA,New South Wales,Salt Beach near Kingscliff,M,True
2020-05-31,BAHAMAS,Abaco Islands,NoName Cay,M,False
2019-10-21,FRENCH POLYNESIA,Moorea,Opunohu Bay,F,
2019-08-04,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2019-07-10,SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",M,False
2019-03-12,USA,Florida,"Stuart Beach, Martin County",M,False
2019-01-30,REUNION ISLAND,,Sainte-Rose at the mouth of Riviere de l'Est,M,True
2018-07-18,USA,New York,"Sailors Haven, Fire Island, Suffolk County",F,False
2018-07-02,USA,South Carolina,Myrtle Beach,F,False
2018-06-09,USA,Hawaii,"Habush, Oahu",M,False
2018-06-04,MEXICO,Colima,La Ticla,M,False
2018-06-03,BRAZIL,Pernambuco,"Piedade Beach, Recife",M,True
2018-05-12,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",M,False
2017-11-30,COSTA RICA,Cocos Island,Manuelita,M,False
2017-10-26,USA,Hawaii,"White Plains Beach, Oahu",M,False
2017-07-26,BAHAMAS,40 miles off Grand Bahama Island,,M,False
2017-05-27,AUSTRALIA,New South Wales,Evans Head,M,False
2017-01-09,INDONESIA,Bali,Balian Beach,M,False
2016-10-24,AUSTRALIA,New South Wales,Broken Head Beach,M,False
2016-09-17,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",M,False
2016-05-22,USA,Florida,"Vero Beach, Indian River County",F,False
2015-12-26,SOUTH AFRICA,KwaZulu-Natal,Westbrook Beach,M,False
2015-07-26,USA,South Carolina,"Edisto Beach, Colleton County",F,
2015-05-03,AUSTRALIA,New South Wales,Saltwater Beach,M,False
2015-01-23,SOUTH AFRICA,Eastern Cape Province,Nahoon Beach,M,False
2015-01-03,SOUTH AFRICA,Eastern Cape Province,Chintsa East Beach,M,False
2014-08-09,BAHAMAS,,,M,False
2014-06-09,BRAZIL,,500 km off the coast of Pernambuco,M,False
2014-03-18,AUSTRALIA,New South Wales,Lennox Head,F,
2013-07-19,USA,Alabama,"Gulf Shores, Baldwin County",F,False
2013-06-06,USA,Florida,"Off Snipe Point, Florida Keys, Monroe County",M,False
2012-07-06,SOUTH AFRICA,Western Cape Province,"Sandstrand, Jongensfontein",M,False
2011-08-16,FRENCH POLYNESIA,Society Islands,"Teahupoo, Tahiti",M,False
2011-06-06,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2011-05-30,USA,Texas,"Follett's Island, Brazoria County",F,False
2011-04-13,INDONESIA,Bali,Balian,M,False
2010-12-17,FIJI,Vitu Levu,Sigatoka,M,False
2010-10-28,USA,Oregon,Florence,M,False
2010-09-02,SOLOMON ISLANDS,Western Province,,M,False
2010-08-29,BAHAMAS,Exuma Islands,"Off Jaws Beach, New Providence Island",M,
2010-05-30,USA,Florida,Off Tarpon Springs,M,False
2010-04-13,SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",M,False
2010-03-27,REUNION ISLAND,Saint-Benoit,Bittern,M,False
2009-11-11,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2009-03-01,AUSTRALIA,New South Wales,Avalon,M,False
2008-09-01,USA,Florida,Hutchinson Island,M,False
2007-09-16,USA,Florida,"Flagler Beach, Flagler County",F,False
2007-08-22,USA,North Carolina,North Carolina Aquarium at Fort Fisher,M,False
2007-07-18,NORWAY,Oslo Fjord,Sjøstrand,M,False
2007-07-04,REUNION ISLAND,,Boucan Canot,M,False
2007-04-09,NEW CALEDONIA,South Province,Dumbéa,M,False
2006-09-29,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2006-09-14,USA,Florida,"Singer Island, Riviera Beach",M,False
2006-09-04,AUSTRALIA,Queensland,Great Barrier Reef,M,
2006-07-29,USA,California,"Broad Beach, Malibu, Los Angeles County",M,False
2006-06-27,USA,Florida,"Hutchinson Island, St. Lucie County",F,False
2006-03-22,SOUTH AFRICA,Eastern Cape Province,Port Alfred,M,
2006-02-01,USA,Hawaii,"Off Pu'u Ola'l, Makena, Maui",M,False
2005-10-19,USA,California,"Salmon Beach, Sonoma County",F,False
2005-05-03,MADAGASCAR,,,M,False
2005-04-07,USA,Texas,"Isla Blanca Park, South Padre Island, Cameron County",M,False
2004-06-14,USA,Florida,"Disney / Vero Beach, Indian River County",F,False
2004-04-13,TONGA,Nuku'alofa,30 nautical miles offshore,M,True
2003-10-14,USA,Florida,Near Patrick Air Force Base Brevard County,M,False
2003-05-07,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2002-11-28,USA,California,"Salmon Creek, Sonoma County",M,False
2002-09-27,TONGA,Vava'u,Swimming with humpback whales,M,False
2002-09-21,USA,California,"Moonstone Beach, Humboldt County",M,False
2002-04-01,USA,Florida,"Lauderdale-By-The-Sea, Broward County",M,False
2002-01-01,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,M,False
2001-10-07,SOUTH AFRICA,KwaZulu-Natal,Salt Rock,M,False
2000-11-17,USA,Florida,"Bonita Springs, Lee County",M,False
2000-08-12,USA,Florida,"St. Augustine, St. Johns County",F,False
1999-09-10,USA,South Carolina,"Isle of Palms, Charleston County",F,False
1999-08-23,MARSHALL ISLANDS,Ralik Chain,Kwajalein Atoll,M,False
1999-05-01,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",M,False
1998-11-14,USA,Florida,"New Smyrna Beach, Volusia County",M,False
1998-07-25,USA,Florida,"New Smyrna Beach, Volusia County",M,False
1998-03-15,SOUTH AFRICA,Western Cape Province,Saldanha Bay,M,False
1997-10-21,USA,Florida,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County",M,False
1997-08-10,USA,Florida,"New Smyrna Beach, Volusia County",M,False
1997-06-24,USA,Hawaii,"Sunset Beach, Oahu",M,False
